grade,often,when,what,prevent,"how
",feel
Grade 10,Rarely (2 or less times a month),During Flex time;,To work on other projects�;To study or ask for help;To do homework;,Lack of energy or motivation,0,No
Grade 11,Often (1-2 times a week),During Flex time;,To do homework;To study or ask for help;To ask questions�;To work on other projects�;,Nothing prevents me from using flex time,2,
Grade 11,Never,After school;,To meet with peers�;,Lack of energy or motivation,4,
Grade 10,Never,I don't come in for help;,I don�t use Flex time�;,Nothing prevents me from using flex time,6,No
Grade 8,Rarely (2 or less times a month),Lunch;,To work on other projects�;To meet with peers�;To ask questions�;To study or ask for help;To do homework;,Nothing prevents me from using flex time,0,"If flex time was removed then it would become more troubling for teachers as those who have unfinished homework(not me) will come to class with undone homework or push teachers to stay later afterschool to help. The reason people come to flex with homework Is because they may have a lot going on at home And they find it difficult to focus so they bring their homework to school just in time to finish it by deadline. If this were removed, Not very many students would excel and fall behind, and you adults will complain about our generation being Lazy, unproductive, lousy, unuseful, and stupid. Although I�m not accusing anybody of anything, I�m taking the survey as my expression and opinion of this topic. If anything, I strongly believe that flex should be extended every day rather than removed. Sincerely,

� ROHAN Sharma"
Grade 8,Rarely (2 or less times a month),During Flex time;,To meet with peers�;,Communicating with peers,3,No
Grade 9,Often (1-2 times a week),During Flex time;,To study or ask for help;To ask questions�;,Nothing prevents me from using flex time,3,No
Grade 10,Rarely (2 or less times a month),During Flex time;,Tests i missed;,Dropping off my brother,3,
Grade 10,Never,I don't come in for help;,To ask questions�;,Availability of teachers,0,
Grade 10,Very often (3 or more times a week),During Flex time;,To do homework;To work on other projects�;,Nothing prevents me from using flex time,0,
Grade 10,Sometimes (2-4 times a month),During Flex time;,To study or ask for help;,Lack of energy or motivation,0,No
Grade 8,Sometimes (2-4 times a month),I don't come in for help;,I don�t use Flex time�;,Nothing prevents me from using flex time,3,I liek staring at wall.
Grade 8,Very often (3 or more times a week),During Flex time;,To do homework;To study or ask for help;To ask questions�;To meet with peers�;To work on other projects�;,Lack of energy or motivation,0,I love flex 
Grade 8,Very often (3 or more times a week),During Flex time;,To do homework;To study or ask for help;To work on other projects�;To meet with peers�;,Lack of energy or motivation,0,KEEP FLEX I WANT MY LIBRARY TIME
Grade 8,Sometimes (2-4 times a month),During Flex time;After school;,To do homework;To study or ask for help;To meet with peers�;To work on other projects�;,Lack of energy or motivation,0,Pls dont remove flex time i dont want school to start at 8:20 i love the free breakfast club
Grade 8,Very often (3 or more times a week),During Flex time;,To do homework;To study or ask for help;To ask questions�;To work on other projects�;,Nothing prevents me from using flex time,0,
Grade 8,Rarely (2 or less times a month),I don't come in for help;,To meet with peers�;,Lack of energy or motivation,0,
Grade 8,Often (1-2 times a week),during 2 period ;,To do homework;To meet with peers�;To ask questions�;To study or ask for help;To work on other projects�;,Nothing prevents me from using flex time,2,
Grade 9,Never,I don't come in for help;,To ask questions�;,Lack of energy or motivation,5,No
Grade 9,Rarely (2 or less times a month),During Flex time;,To work on other projects�;,Lack of energy or motivation,4,
Grade 9,Rarely (2 or less times a month),Other;,I don�t use Flex time�;,Getting to school,5,No
Grade 10,Rarely (2 or less times a month),Lunch;During Flex time;,To do homework;,Lack of energy or motivation,0,
Grade 11,Sometimes (2-4 times a month),During Flex time;,To do homework;To study or ask for help;To ask questions�;,Lack of energy or motivation,3,
Grade 10,Very often (3 or more times a week),During Flex time;,To study or ask for help;To ask questions�;To do homework;,Nothing prevents me from using flex time,0,I still want to have Flex Time to be able able to ask my teacher when I cannot do the assignment 
Grade 12,Rarely (2 or less times a month),After school;Lunch;,To meet with peers�;To work on other projects�;To study or ask for help;,Lack of energy or motivation,7,-
Grade 9,Never,After school;,I don�t use Flex time�;,Nothing prevents me from using flex time,5,No
Grade 9,Rarely (2 or less times a month),During Flex time;,To meet with peers�;,Nothing prevents me from using flex time,3,
Grade 9,Very often (3 or more times a week),During Flex time;,To study or ask for help;To meet with peers�;To work on other projects�;To ask questions�;,Availability of teachers,0,Pls don't remove flex
Grade 12,Never,I don't come in for help;,I don�t use Flex time�;,I have never used Flex time before so I don�t know,0,.
Grade 9,Often (1-2 times a week),During Flex time;,To do homework;To study or ask for help;To ask questions�;To work on other projects�;To meet with peers�;,Lack of energy or motivation,0,
Grade 9,Rarely (2 or less times a month),Lunch;After school;,I don�t use Flex time�;To ask questions�;,Lack of energy or motivation,2,"I don�t usually go to flex, but it�s always good to have a time for me to get some extra help"
Grade 8,Very often (3 or more times a week),During Flex time;After school;,To do homework;To study or ask for help;To ask questions�;To work on other projects�;,Availability of teachers,0,
